is_directed.txt,graph_m.txt,cycle_info.txt,graph_r.txt,graph_n.txt
no,9,yes,3,8
no,2,no,1,3
no,14135,yes,7,5757
no,8,yes,47,100
no,559,yes,428,1000
no,1186,yes,656,1500
no,0,no,9,20
no,2019,yes,860,2000
no,39,yes,113,250
no,3055,yes,1067,2500
no,4315,yes,1293,3000
no,6005,yes,1489,3500
no,7768,yes,1708,4000
no,9887,yes,1915,4500
no,1,no,22,50
no,145,yes,226,500
no,12095,yes,2118,5000
no,15945,yes,2457,5757
no,63,yes,47,100
no,5638,yes,428,1000
no,12084,yes,656,1500
no,3,no,9,20
no,20478,yes,860,2000
no,356,yes,113,250
no,31310,yes,1067,2500
no,44606,yes,1293,3000
no,61176,yes,1489,3500
no,79124,yes,1708,4000
no,100374,yes,1915,4500
no,11,no,22,50
no,1409,yes,226,500
no,123072,yes,2118,5000
no,163671,yes,2457,5757
no,30,yes,20,20
no,15,yes,1,10
no,15,yes,5,10
no,20,yes,1,10
no,20,yes,5,10
no,1500,yes,100,1000
no,1500,yes,500,1000
no,2000,yes,100,1000
no,2000,yes,500,1000
no,3000,yes,200,2000
no,3000,yes,1000,2000
no,4000,yes,200,2000
no,4000,yes,1000,2000
no,4500,yes,300,3000
no,4500,yes,1500,3000
no,6000,yes,300,3000
no,6000,yes,1500,3000
no,6000,yes,400,4000
no,6000,yes,2000,4000
no,8000,yes,400,4000
no,8000,yes,2000,4000
no,10000,yes,500,5000
no,10000,yes,2500,5000
no,7500,yes,500,5000
no,7500,yes,2500,5000
no,261,yes,36,100
no,261,yes,31,100
no,261,yes,41,100
no,1776,yes,288,625
no,1776,yes,276,625
no,1776,yes,300,625
no,56,yes,8,25
no,56,yes,6,25
no,56,yes,10,25
no,7301,yes,1176,2500
no,7301,yes,1151,2500
no,7301,yes,1201,2500
yes,21,no,5,10
yes,29,no,7,10
yes,26,no,8,10
yes,2642,no,53,100
yes,2551,no,48,100
yes,2213,no,51,100
yes,80,no,11,20
yes,129,no,11,20
yes,99,no,13,20
yes,641,no,21,50
yes,537,no,23,50
yes,648,no,27,50
yes,62600,no,258,500
yes,64522,no,251,500
yes,61751,no,255,500
yes,16,no,6,8
yes,13,no,4,8
yes,20,no,4,8
no,3,yes,1,3
no,21,yes,1,17
no,2001,yes,1,2000
no,3134,yes,1,2500
no,4444,yes,1,3000
no,5974,yes,1,3500
no,7744,yes,1,4000
no,9900,yes,1,4500
no,12060,yes,1,5000
no,15945,yes,1,5757
no,20422,yes,1,2000
no,32004,yes,1,2500
no,45332,yes,1,3000
no,61442,yes,1,3500
no,79432,yes,1,4000
no,101086,yes,1,4500
no,123432,yes,1,5000
no,163671,yes,1,5757
yes,49,no,1,36
yes,107,no,23,79
yes,98,no,7,76
yes,104,no,29,77
yes,345,no,83,252
yes,337,no,83,253
yes,353,no,11,254
yes,21,no,5,16
yes,18,no,4,14
yes,16,no,3,15
yes,34,no,8,29
yes,32,no,5,26
yes,30,no,0,27
no,241,yes,10,100
no,241,yes,50,100
no,1088,yes,20,400
no,1088,yes,200,400
no,16,yes,3,9
no,16,yes,4,9
no,2472,yes,30,900
no,2472,yes,450,900
no,4431,yes,40,1600
no,4431,yes,800,1600
no,6930,yes,50,2500
no,6930,yes,1250,2500
no,8,yes,1,8
no,89,yes,1,80
no,899,yes,1,800
no,8999,yes,1,8000
no,89999,yes,1,80000
no,17,yes,1,16
no,26,yes,1,24
no,35,yes,1,32
no,8,yes,1,8
no,71,yes,1,62
no,701,yes,1,602
no,7001,yes,1,6002
no,70001,yes,1,60002
no,15,yes,1,14
no,22,yes,1,20
no,29,yes,1,26
no,8,yes,1,8
no,80,yes,1,71
no,800,yes,1,701
no,8000,yes,1,7001
no,80000,yes,1,70001
no,16,yes,1,15
no,24,yes,1,22
no,32,yes,1,29
